,Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
898,STITTVILLE FIRE DEPARTMENT,33040,9069 MAIN ST,STITTVILLE,NY,13469,33,Oneida,3158654531.0,43.222931,-75.286879,"(43.222931, -75.286879)"
900,TABERG FIRE DEPARTMENT,33042,PO BOX 523,TABERG,NY,13471,33,Oneida,3153378447.0,43.265975,-75.60677,"(43.265975, -75.60677)"
901,BARNEVELD FIRE DEPARTMENT,33043,PO BOX 480,BARNEVELD,NY,13304,33,Oneida,3158962410.0,43.273658000000005,-75.185024,"(43.273658, -75.185024)"
902,UTICA FIRE DEPARTMENT (CITY),33044,552 BLEECKER STREET,UTICA,NY,13501,33,Oneida,3157245151.0,43.099461,-75.221847,"(43.099461, -75.221847)"
903,VERNON FIRE DEPARTMENT,33045,PO BOX 773,VERNON,NY,13476,33,Oneida,3158293475.0,43.079103,-75.540966,"(43.079103, -75.540966)"
904,VERONA FIRE DEPARTMENT,33046,PO BOX 137,VERONA,NY,13478,33,Oneida,3153636009.0,43.13964,-75.57198000000001,"(43.13964, -75.57198)"
905,VIENNA FIRE DEPARTMENT,33047,2875 STATE RTE 49,BLOSSVALE,NY,13308,33,Oneida,3152451237.0,43.239521,-75.697047,"(43.239521, -75.697047)"
906,WATERVILLE FIRE DEPARTMENT,33048,PO BOX 272,WATERVILLE,NY,13480,33,Oneida,3158414521.0,42.91361,-75.38468,"(42.91361, -75.38468)"
907,WESTERNVILLE FIRE DEPARTMENT,33049,PO BOX 17 / 9305 ST RTE 46,WESTERNVILLE,NY,13486,33,Oneida,3158274242.0,43.34718,-75.34765,"(43.34718, -75.34765)"
908,WESTMORELAND FIRE DEPARTMENT,33050,PO BOX 478,WESTMORELAND,NY,13490,33,Oneida,3158536884.0,43.10362,-75.43262,"(43.10362, -75.43262)"
909,WHITESBORO FIRE DEPARTMENT,33051,171 ORISKANY BLVD,WHITESBORO,NY,13492,33,Oneida,3157361238.0,43.117366,-75.291905,"(43.117366, -75.291905)"
911,YORKVILLE FIRE DEPARTMENT,33053,SIXTH ST AND CALDER AVENUE,YORKVILLE,NY,13495,33,Oneida,3157361523.0,43.112106,-75.278512,"(43.112106, -75.278512)"
912,LOWELL VOLUNTEER FIRE DEPARTMENT,33054,5783 STATE ROUTE 26,ROME,NY,13440,33,Oneida,3153391034.0,43.133013,-75.500422,"(43.133013, -75.500422)"
913,VERNON CENTER VOLUNTEER FD,33055,5770 NORTON ROAD,VERNON CENTER,NY,13477,33,Oneida,3158292139.0,43.053952,-75.504459,"(43.053952, -75.504459)"
914,WOODGATE VOL FIRE DEPARTMENT,33056,BOX 52,WOODGATE,NY,13494,33,Oneida,3153926611.0,43.522315,-75.154821,"(43.522315, -75.154821)"
915,AMBER FIRE DEPARTMENT,34001,PO BOX 172,MARIETTA,NY,13110,34,Onondaga,3156367741.0,42.87702,-76.26723,"(42.87702, -76.26723)"
916,APULIA FIRE DEPARTMENT,34002,BOX 96,APULIA STATION,NY,13020,34,Onondaga,3156965636.0,42.81903,-76.07032,"(42.81903, -76.07032)"
917,BALDWINSVILLE FIRE DEPARTMENT,34003,7911 CREGO RD,BALDWINSVILLE,NY,13027,34,Onondaga,3156358787.0,43.15893,-76.32919,"(43.15893, -76.32919)"
918,BELGIUM-COLD SPRING VOL FIRE CO,34004,8435 LOOP ROAD,BALDWINSVILLE,NY,13027-8400,34,Onondaga,3156355136.0,43.153843,-76.277072,"(43.153843, -76.277072)"
919,BORODINO FIRE DEPARTMENT,34005,2500 NUNNERY RD RD #3,SKANEATELES,NY,13152,34,Onondaga,3156733735.0,42.858103,-76.33790400000001,"(42.858103, -76.337904)"
920,BREWERTON FIRE DEPARTMENT,34006,PO BOX 708,BREWERTON,NY,13029,34,Onondaga,3156767724.0,43.235896000000004,-76.14028499999999,"(43.235896, -76.140285)"
921,CAMILLUS FIRE DEPARTMENT,34007,5801 NEEWPORT ROAD,CAMILLUS,NY,13031,34,Onondaga,3156724207.0,43.052289,-76.31019,"(43.052289, -76.31019)"
922,CICERO FIRE DEPARTMENT,34008,MAIN STREET PO BOX 1111,CICERO,NY,13039,34,Onondaga,3156997721.0,43.175815,-76.119476,"(43.175815, -76.119476)"
923,CLAY FIRE DEPARTMENT,34009,4383 STATE ROUTE 31,CLAY,NY,13041,34,Onondaga,3156524242.0,43.186347,-76.213974,"(43.186347, -76.213974)"
924,DELPHI FALLS FIRE DEPARTMENT,34010,2260 ORAN-DELPHI ROAD,MANLIUS,NY,13104,34,Onondaga,3156623595.0,42.880805,-75.913713,"(42.880805, -75.913713)"
925,DEWITT FIRE DEPARTMENT,34011,4500 E GENESEE STREET,DEWITT,NY,13214,34,Onondaga,3154463195.0,43.034653000000006,-76.06539599999999,"(43.034653, -76.065396)"
926,EAST SYRACUSE FIRE DEPARTMENT,34012,204 NORTH CENTER STREET,EAST SYRACUSE,NY,13057,34,Onondaga,3156713380.0,43.064091,-76.070985,"(43.064091, -76.070985)"
927,ELBRIDGE FIRE DEPT,34013,275 E MAIN ST PO BOX 250,ELBRIDGE,NY,13060,34,Onondaga,3156893021.0,43.033643,-76.45267199999999,"(43.033643, -76.452672)"
928,FABIUS FIRE DEPARTMENT,34014,7825 MAIN STREET BOX 60,FABIUS,NY,13063,34,Onondaga,3156835362.0,42.85628,-75.99683,"(42.85628, -75.99683)"
929,FAIRMOUNT FIRE DEPARTMENT,34015,4611 W GENESEE ST,SYRACUSE,NY,13219,34,Onondaga,3154875811.0,43.044579,-76.247656,"(43.044579, -76.247656)"
930,FAYETTEVILLE FIRE DEPARTMENT,34016,425 EAST GENESEE STREET,FAYETTEVILLE,NY,13066,34,Onondaga,3156376101.0,43.029759999999996,-76.005992,"(43.02976, -76.005992)"
931,HINSDALE FIRE DEPARTMENT,34018,113 MALDEN ROAD,MATTYDALE,NY,13211,34,Onondaga,3154552511.0,43.104317,-76.144665,"(43.104317, -76.144665)"
932,HOWLETT HILL FIRE DEPARTMENT,34019,3384 HOWLETT HILL ROAD,SYRACUSE,NY,13215,34,Onondaga,3156731817.0,42.98659,-76.26076,"(42.98659, -76.26076)"
933,JAMESVILLE FIRE DEPARTMENT,34020,6486 E SENECA TPK POB 516,JAMESVILLE,NY,13078,34,Onondaga,3154922872.0,42.991646,-76.07198299999999,"(42.991646, -76.071983)"
934,JORDAN FIRE DEPARTMENT,34021,1 NORTH HAMILTON STREET,JORDAN,NY,13080,34,Onondaga,3156893923.0,43.065627,-76.477049,"(43.065627, -76.477049)"
935,KIRKVILLE FIRE COMPANY,34022,6225 KIRKVILLE RD N  POB 6,KIRKVILLE,NY,13082,34,Onondaga,3156563093.0,43.071408,-75.950825,"(43.071408, -75.950825)"
936,LAFAYETTE FIRE DEPARTMENT,34023,2436 ROUTE 11 SO PO BOX 260,LAFAYETTE,NY,13084,34,Onondaga,3156773400.0,42.89281,-76.10546,"(42.89281, -76.10546)"
937,LAKESIDE FIRE DEPARTMENT,34024,1002 STATE FAIR BLVD POB 69,SYRACUSE,NY,13209,34,Onondaga,3154877218.0,43.099219,-76.24760400000001,"(43.099219, -76.247604)"
938,LIVERPOOL VOLUNTEER FIRE DEPT,34025,1110 OSWEGO ST,LIVERPOOL,NY,13088,34,Onondaga,3154576347.0,43.111168,-76.211316,"(43.111168, -76.211316)"
939,LYNCOURT VOLUNTEER FIRE DEPT,34026,2909 COURT STREET,SYRACUSE,NY,13208,34,Onondaga,3154556570.0,43.083325,-76.129547,"(43.083325, -76.129547)"
940,LYSANDER FIRE DEPARTMENT,34027,664 LAMSON ROAD,BALDWINSVILLE,NY,13027,34,Onondaga,3156782260.0,43.15893,-76.32919,"(43.15893, -76.32919)"
941,MANLIUS FIRE DEPARTMENT,34028,4 STICKLEY DR PO BOX 236,MANLIUS,NY,13104,34,Onondaga,3156828318.0,43.002049,-75.98375,"(43.002049, -75.98375)"
942,MARCELLUS VOLUNTEER FIRE DEPT,34029,PO BOX 186,MARCELLUS,NY,13108,34,Onondaga,3156731818.0,42.9825,-76.33878,"(42.9825, -76.33878)"
943,MATTYDALE FIRE DEPARTMENT,34030,173 EAST MOLLOY ROAD,MATTYDALE,NY,13211,34,Onondaga,3154540090.0,43.097977,-76.141988,"(43.097977, -76.141988)"
944,MEMPHIS FIRE DEPARTMENT,34031,PO BOX 38,MEMPHIS,NY,13112,34,Onondaga,3156893359.0,43.084042,-76.376164,"(43.084042, -76.376164)"
945,MINOA FIRE DEPARTMENT,34032,238 N MAIN ST PO BOX 104,MINOA,NY,13116,34,Onondaga,3156569204.0,43.077311,-76.00074599999999,"(43.077311, -76.000746)"
946,MOTTVILLE FIRE COMPANY,34033,4149 FROST ST PO BOX 9,MOTTVILLE,NY,13119,34,Onondaga,3156853832.0,42.97443,-76.42751,"(42.97443, -76.42751)"
947,MOYERS CORNERS VOL FIRE DEPT,34034,7697 MORGAN RD,LIVERPOOL,NY,13090,34,Onondaga,3156527733.0,43.144771999999996,-76.207133,"(43.144772, -76.207133)"
948,NAVARINO VOLUNTEER FIRE DEPT,34035,PO BOX 15004,SYRACUSE,NY,13215,34,Onondaga,3156733260.0,42.929828,-76.273972,"(42.929828, -76.273972)"
949,NEDROW FIRE DEPARTMENT,34036,6505 SOUTH SALINA STREET,NEDROW,NY,13120,34,Onondaga,3154690053.0,42.977462,-76.141536,"(42.977462, -76.141536)"
950,NORTH SYRACUSE FIRE DEPARTMENT,34037,109 CHESTNUT STREET,NORTH SYRACUSE,NY,13212,34,Onondaga,3154585345.0,43.13625,-76.130626,"(43.13625, -76.130626)"
951,ONONDAGA HILL FIRE DEPARTMENT,34038,4831 VELASKO ROAD,SYRACUSE,NY,13215,34,Onondaga,3154929191.0,43.005854,-76.18494799999999,"(43.005854, -76.184948)"
953,OTISCO FIRE DEPARTMENT,34040,1933 ROUTE 80,TULLY,NY,13159,34,Onondaga,3156968226.0,42.80235,-76.14671,"(42.80235, -76.14671)"
954,PLAINVILLE FIRE DEPARTMENT,34041,767 W GENESEE RD PO BOX 286,PLAINVILLE,NY,13137,34,Onondaga,3156382994.0,43.15956,-76.44717,"(43.15956, -76.44717)"
955,POMPEY HILL FIRE DEPARTMENT,34042,7407 ACADEMY ST PO BOX 112,POMPEY,NY,13138,34,Onondaga,3156773212.0,42.90128,-76.01134,"(42.90128, -76.01134)"
956,SENECA RIVER FIRE DEPARTMENT,34043,3457 HAYES ROAD,BALDWINSVILLE,NY,13027,34,Onondaga,3156223369.0,43.125648999999996,-76.272387,"(43.125649, -76.272387)"
957,SENTINEL HEIGHTS FIRE DEPT,34044,4200 DAVE TILDEN ROAD,JAMESVILLE,NY,13078,34,Onondaga,3154693653.0,42.974292999999996,-76.120474,"(42.974293, -76.120474)"
958,SKANEATELES FIRE DEPARTMENT,34045,77 W GENESEE STREET,SKANEATELES,NY,13152-1065,34,Onondaga,3156853496.0,42.947581,-76.43195300000001,"(42.947581, -76.431953)"
959,SOLVAY FIRE DEPARTMENT,34046,PO BOX 123,SOLVAY,NY,13209,34,Onondaga,3154681313.0,43.062059000000005,-76.209117,"(43.062059, -76.209117)"
960,SOUTH BAY VOLUNTEER FIRE DEPT,34047,8819 CICERO CENTER RD,CICERO,NY,13039,34,Onondaga,3156992893.0,43.193937,-76.041651,"(43.193937, -76.041651)"
961,SOUTH ONONDAGA FIRE DEPARTMENT,34048,3130 CEDARVALE ROAD,NEDROW,NY,13120,34,Onondaga,3154921147.0,42.930411,-76.21426,"(42.930411, -76.21426)"
962,SOUTHWOOD FIRE DEPARTMENT,34049,PO BOX 365,JAMESVILLE,NY,13078,34,Onondaga,3154695171.0,42.993596000000004,-76.109848,"(42.993596, -76.109848)"
963,SPAFFORD FIRE DEPARTMENT,34050,660 RTE 41,HOMER,NY,13077,34,Onondaga,6077494422.0,42.803076000000004,-76.264225,"(42.803076, -76.264225)"
964,SYRACUSE FIRE DEPARTMENT (CITY),34051,511 SOUTH STATE STREET,SYRACUSE,NY,13202,34,Onondaga,3154735525.0,43.046921000000005,-76.147406,"(43.046921, -76.147406)"
965,TAUNTON VOLUNTEER FIRE DEPT,34052,4300 ONONDAGA BOULEVARD,SYRACUSE,NY,13219,34,Onondaga,3154681011.0,43.02661,-76.214991,"(43.02661, -76.214991)"
966,TULLY FIRE DEPARTMENT,34053,1 RAILROAD ST,TULLY,NY,13159,34,Onondaga,3156966414.0,42.798818,-76.106112,"(42.798818, -76.106112)"
967,WARNERS FIRE DEPARTMENT,34054,6444 NEWPORT RD PO BOX 72,WARNERS,NY,13164,34,Onondaga,3156725740.0,43.083044,-76.328734,"(43.083044, -76.328734)"
968,BRISTOL VOLUNTEER FIRE DEPT,35001,4350 ROUTE 64,CANANDAIGUA,NY,14424,35,Ontario,7166576694.0,42.816371000000004,-77.39415799999999,"(42.816371, -77.394158)"
969,CANANDAIGUA FIRE DEPT (CITY),35002,335 SOUTH MAIN STREET,CANANDAIGUA,NY,14424,35,Ontario,5853942111.0,42.882765,-77.277585,"(42.882765, -77.277585)"
970,CHESHIRE VOLUNTEER FIRE DEPT,35004,4285 RTE 21,CANANDAIGUA,NY,14424,35,Ontario,7163948871.0,42.86943,-77.29118000000001,"(42.86943, -77.29118)"
971,CLIFTON SPRINGS FIRE DEPARTMENT,35005,RAILROAD AVENUE BOX 15,CLIFTON SPRINGS,NY,14432,35,Ontario,3154623358.0,42.966121,-77.139859,"(42.966121, -77.139859)"
972,CRYSTAL BEACH VOL FIRE DEPT,35006,4477 MAIDEN LANE,CANANDAIGUA,NY,14424-9785,35,Ontario,7163942975.0,42.86943,-77.29118000000001,"(42.86943, -77.29118)"
973,EAST BLOOMFIELD FIRE DEPARTMENT,35007,PO BOX 246  105 MAIN STREET,E BLOOMFIELD,NY,14443-0246,35,Ontario,7162295563.0,42.897633,-77.432361,"(42.897633, -77.432361)"
974,FARMINGTON FIRE DEPARTMENT,35008,1225 HOOK ROAD,FARMINGTON,NY,14425,35,Ontario,5857421894.0,42.975446999999996,-77.348733,"(42.975447, -77.348733)"
975,FISHERS FIRE DEPARTMENT,35009,7853 MAIN ST PO BOX 397,FISHERS,NY,14453,35,Ontario,7169243451.0,43.0092,-77.46899,"(43.0092, -77.46899)"
976,GENEVA FIRE DEPARTMENT,35011,47 CASTLE STREET,GENEVA,NY,14456,35,Ontario,3157896305.0,42.867905,-76.982723,"(42.867905, -76.982723)"
977,GORHAM FIRE CO,35012,4676 KEARNEY ROAD,GORHAM,NY,14461,35,Ontario,5855265363.0,42.80147,-77.136839,"(42.80147, -77.136839)"
978,HALL FIRE DEPARTMENT,35013,4852 MAIN STREET PO BOX 8,HALL,NY,14463,35,Ontario,5855265944.0,42.7937,-77.06879,"(42.7937, -77.06879)"
979,HONEOYE FIRE DEPARTMENT,35014,PO BOX 469,HONEOYE,NY,14471,35,Ontario,7163673381.0,42.727540000000005,-77.48391,"(42.72754, -77.48391)"
980,HOPEWELL FIRE DEPARTMENT,35015,PO BOX 932,CANANDAIGUA,NY,14424,35,Ontario,7163947173.0,42.86943,-77.29118000000001,"(42.86943, -77.29118)"
981,IONIA VOLUNTEER FIRE COMPANY,35016,8338 CO ROAD #14 PO BOX 43,IONIA,NY,14475,35,Ontario,7163964411.0,42.931399,-77.49663199999999,"(42.931399, -77.496632)"
982,MANCHESTER FIRE DEPARTMENT,35017,3808 DEWEY ROAD,SHORTSVILLE,NY,14548,35,Ontario,7162893022.0,42.96955,-77.228717,"(42.96955, -77.228717)"
983,NAPLES FIRE DEPARTMENT,35018,297 ITALY TURNPIKE,NAPLES,NY,14512,35,Ontario,7163746452.0,42.61358,-77.40404699999999,"(42.61358, -77.404047)"
984,NORTH SIDE FIRE COMPANY,35019,270 CARTER ROAD,GENEVA,NY,14456,35,Ontario,3157890805.0,42.889771,-76.993945,"(42.889771, -76.993945)"
985,PHELPS FIRE DEPARTMENT,35021,7 EXCHANGE ST PO BOX 81,PHELPS,NY,14532,35,Ontario,3155482028.0,42.957992,-77.057002,"(42.957992, -77.057002)"
986,PORT GIBSON VOL FIRE DEPT,35022,305 COUNTY RD #27,CLIFTON SPRINGS,NY,14432,35,Ontario,3155979376.0,42.95558,-77.22075,"(42.95558, -77.22075)"
987,SENECA CASTLE FIRE DEPARTMENT,35024,PO BOX 59,SENECA CASTLE,NY,14547,35,Ontario,7165265296.0,42.82481,-77.09493,"(42.82481, -77.09493)"
988,SHORTSVILLE FIRE DEPARTMENT,35025,5 SHELDON STREET,SHORTSVILLE,NY,14548,35,Ontario,7162893017.0,42.955756,-77.220702,"(42.955756, -77.220702)"
989,STANLEY FIRE COMPANY,35026,PO BOX 481,STANLEY,NY,14561,35,Ontario,7165265087.0,42.81855,-77.11322,"(42.81855, -77.11322)"
990,VICTOR VOLUNTEER FIRE DEPT,35027,34 MAPLE AVENUE,VICTOR,NY,14564,35,Ontario,5857422468.0,42.981169,-77.409605,"(42.981169, -77.409605)"
991,WEST BLOOMFIELD FIRE DEPARTMENT,35028,PO BOX 24,WEST BLOOMFIELD,NY,14585,35,Ontario,5852428394.0,42.9073,-77.5514,"(42.9073, -77.5514)"
992,WEST LAKE ROAD FIRE ASSN,35029,5275 OLD LAKE ROAD,GENEVA,NY,14456,35,Ontario,3157890061.0,42.86003,-76.98868,"(42.86003, -76.98868)"
993,WHITE SPRINGS FIRE DEPARTMENT,35031,PO BOX 401,GENEVA,NY,14456,35,Ontario,3157897274.0,42.86003,-76.98868,"(42.86003, -76.98868)"
994,OAKS CORNERS FIRE DEPARTMENT,35032,607 CROSS ROAD PO BOX 54,OAKS CORNERS,NY,14518,35,Ontario,3155483836.0,42.932925,-77.00046999999999,"(42.932925, -77.00047)"
995,PINE ISLAND FIRE DEPARTMENT,36001,PO BOX 159 CNTY RT 1,PINE ISLAND,NY,10969,36,Orange,9142584377.0,41.286809999999996,-74.49178,"(41.28681, -74.49178)"
996,CAMPBELL HALL ENGINE CO NO 1,36002,COUNTY ROUTE 4,CAMPBELL HALL,NY,10916,36,Orange,9144272888.0,41.455253000000006,-74.25830400000001,"(41.455253, -74.258304)"
997,CHESTER FIRE DEPT,36004,PO BOX 504,CHESTER,NY,10918,36,Orange,9144394100.0,41.3603,-74.27565200000001,"(41.3603, -74.275652)"
998,CIRCLEVILLE FIRE DEPARTMENT,36005,2147 ROUTE 302,CIRCLEVILLE,NY,10919,36,Orange,9143613702.0,41.52166,-74.38235,"(41.52166, -74.38235)"
999,COLDENHAM FIRE COMPANY,36006,511 COLDENHAM ROAD,WALDEN,NY,12586,36,Orange,9145647223.0,41.527015000000006,-74.152814,"(41.527015, -74.152814)"
1000,CORNWALL FIRE DEPARTMENT,36007,1 QUAKER AVE PO BOX 362,ORNWALL,NY,12518,36,Orange,9145349596.0,41.434662,-74.037048,"(41.434662, -74.037048)"
1001,CORNWALL-ON-HUDSON FIRE DEPT,36008,233 HUDSON STREET BOX 333,CORNWALL-ON-HUDSON,NY,12520,36,Orange,9145342841.0,41.444210999999996,-74.014448,"(41.444211, -74.014448)"
1002,CRONOMER VALLEY FIRE DEPARTMENT,36009,296 NORTH PLANK ROAD,NEWBURGH,NY,12550,36,Orange,8455644011.0,41.549365,-74.058901,"(41.549365, -74.058901)"
1003,CUDDEBACKVILLE FIRE DEPARTMENT,36010,PO BOX 285,CUDDEBACKVILLE,NY,12729,36,Orange,8457548421.0,41.469339,-74.608018,"(41.469339, -74.608018)"
1004,ORANGE LAKE FIRE DEPARTMENT,36011,407 S PLANK ROAD SUITE 5,NEWBURGH,NY,12550,36,Orange,9145643878.0,41.539906,-74.09745500000001,"(41.539906, -74.097455)"
1005,FLORIDA FIRE DEPARTMENT,36012,PO BOX 600,FLORIDA,NY,10921,36,Orange,9146517754.0,41.331179,-74.35651999999999,"(41.331179, -74.35652)"
1006,FORT MONTGOMERY FIRE DEPARTMENT,36013,PO BOX 71,FORT MONTGOMERY,NY,10922,36,Orange,8454465102.0,41.332665999999996,-73.98631400000001,"(41.332666, -73.986314)"
1007,GOOD WILL FIRE DEPARTMENT,36014,1 SOUTH PLANK ROAD,NEWBURGH,NY,12550,36,Orange,9145621129.0,41.51058,-74.046649,"(41.51058, -74.046649)"
1008,GREENVILLE FIRE DEPARTMENT,36015,1 FIREHOUSE ROAD,PORT JERVIS,NY,12771,36,Orange,8458584114.0,41.370065999999994,-74.615546,"(41.370066, -74.615546)"
1009,GOSHEN FIRE DEPARTMENT,36016,PO BOX 946,GOSHEN,NY,10924,36,Orange,8452943448.0,41.403121,-74.32579399999999,"(41.403121, -74.325794)"
1010,GREENWOOD LAKE FIRE DEPARTMENT,36017,51 WATERSTONE RD PO BX 1388,GREENWOOD LAKE,NY,10925,36,Orange,8454772236.0,41.222363,-74.292795,"(41.222363, -74.292795)"
1011,HARRIMAN ENGINE COMPANY NO 1,36018,PO BOX 104  2 S MAIN STREET,HARRIMAN,NY,10926,36,Orange,9147831120.0,41.309637,-74.150364,"(41.309637, -74.150364)"
1013,HOWELLS FIRE DEPARTMENT,36021,PO BOX 115,HOWELLS,NY,10932,36,Orange,9143862000.0,41.479696999999994,-74.466889,"(41.479697, -74.466889)"
1014,JOHNSON FIRE DEPARTMENT,36022,CREAMERY ROAD PO BOX 85,JOHNSON,NY,10933,36,Orange,9143556726.0,41.366001000000004,-74.505299,"(41.366001, -74.505299)"
1015,LAKESIDE FIRE COMPANY,36023,PO BOX 779,MONROE,NY,10950,36,Orange,9147834165.0,41.278719,-74.215037,"(41.278719, -74.215037)"
1016,MAYBROOK ENGINE COMPANY NO 1,36024,204 WALLACE AVENUE,MAYBROOK,NY,12543,36,Orange,8454279995.0,41.481924,-74.21861700000001,"(41.481924, -74.218617)"
1017,MIDDLE HOPE FIRE DEPARTMENT,36025,PO BOX 712,NEWBURGH,NY,12550,36,Orange,8455654068.0,41.538359,-74.01301600000001,"(41.538359, -74.013016)"
1018,MIDDLETOWN FIRE DEPARTMENT,36026,81 EAST MAIN STREET,MIDDLETOWN,NY,10940,36,Orange,8453434169.0,41.445845,-74.41582,"(41.445845, -74.41582)"
1019,MECHANICSTOWN FIRE DEPARTMENT,36027,22 VICTORY STREET,MIDDLETOWN,NY,10940,36,Orange,8453420821.0,41.442938,-74.400017,"(41.442938, -74.400017)"
1020,MONROE FIRE DEPARTMENT,36028,526 ROUTE 17M,MONROE,NY,10950,36,Orange,8457836791.0,41.320892,-74.181403,"(41.320892, -74.181403)"
1021,MONTGOMERY FIRE DEPARTMENT,36029,PO BOX 8,MONTGOMERY,NY,12549,36,Orange,8454573205.0,41.526865,-74.23532,"(41.526865, -74.23532)"
1022,MOUNT HOPE FIRE DEPARTMENT,36030,273 FINCHVILLE TPK PO BOX 23,OTISVILLE,NY,10963,36,Orange,8457425214.0,41.455687,-74.543886,"(41.455687, -74.543886)"
1023,NEWBURGH FIRE DEPARTMENT (CITY),36031,22 GRAND STREET,NEWBURGH,NY,12550,36,Orange,8455697415.0,41.499355,-74.00974599999999,"(41.499355, -74.009746)"
1024,NEW HAMPTON FIRE COMPANY,36032,PO BOX 386,NEW HAMPTON,NY,10958,36,Orange,8453742111.0,41.410242,-74.416577,"(41.410242, -74.416577)"
1025,NEW WINDSOR FIRE DEPARTMENT,36033,275 WALSH ROAD,NEW WINDSOR,NY,12553,36,Orange,9145658081.0,41.489058,-74.022054,"(41.489058, -74.022054)"
1026,OTISVILLE VOL FIRE COMPANY,36034,PO BOX 865,OTISVILLE,NY,10963,36,Orange,9143862494.0,41.474381,-74.537201,"(41.474381, -74.537201)"
1027,PINE BUSH HOOK AND LADDER CO,36035,2405 RT 52,PINE BUSH,NY,12566,36,Orange,8457442674.0,41.605913,-74.295454,"(41.605913, -74.295454)"
1028,POCATELLO FIRE COMPANY,36037,5 POCATELLO ROAD,MIDDLETOWN,NY,10940,36,Orange,9143443421.0,41.441959000000004,-74.45306,"(41.441959, -74.45306)"
1029,PORT JERVIS FIRE DEPARTMENT,36038,21 ULSTER PLACE PO BOX 1002,PORT JERVIS,NY,12771,36,Orange,8458584099.0,41.378592,-74.687155,"(41.378592, -74.687155)"
1030,SALISBURY MILLS FIRE COMPANY,36039,PO BOX 279,SALISBURY MILLS,NY,12577,36,Orange,9144961584.0,41.4303,-74.111,"(41.4303, -74.111)"
1031,SLATE HILL FIRE DEPARTMENT,36040,PO BOX 3 RTE 284,SLATE HILL,NY,10973,36,Orange,8453557411.0,41.388220000000004,-74.478368,"(41.38822, -74.478368)"
1032,SPARROWBUSH FIRE DEPARTMENT,36041,79 MAIN STREET PO BOX 530,SPARROWBUSH,NY,12780,36,Orange,8458565047.0,41.402635,-74.72745,"(41.402635, -74.72745)"
1033,SILVER LAKE FIRE DEPARTMENT,36042,26 MALTESE DRIVE,MIDDLETOWN,NY,10940,36,Orange,8453437131.0,41.456548,-74.391852,"(41.456548, -74.391852)"
1034,TUXEDO FIRE DEPARTMENT,36043,RTE 17,TUXEDO,NY,10987,36,Orange,9143514211.0,41.239129999999996,-74.205912,"(41.23913, -74.205912)"
1035,UNIONVILLE FIRE DEPARTMENT,36044,BOX 372,UNIONVILLE,NY,10988,36,Orange,9147263068.0,41.301809999999996,-74.56148,"(41.30181, -74.56148)"
1036,VAILS GATE FIRE DEPARTMENT,36045,ROUTE 94 PO BOX 173,VAILS GATE,NY,12584,36,Orange,9145615511.0,41.455442,-74.053937,"(41.455442, -74.053937)"
1037,WALDEN FIRE DEPARTMENT,36046,PO BOX 268,WALDEN,NY,12586,36,Orange,8456298877.0,41.551055,-74.191338,"(41.551055, -74.191338)"
1038,WARWICK FIRE DEPARTMENT,36047,25 CHURCH STREET PO BOX 31,WARWICK,NY,10990,36,Orange,9149862577.0,41.258873,-74.35576800000001,"(41.258873, -74.355768)"
1039,WASHINGTON HEIGHTS FIRE COMPANY,36048,10 OHIO PLACE,MIDDLETOWN,NY,10940,36,Orange,9143421344.0,41.469226,-74.413847,"(41.469226, -74.413847)"
1040,WASHINGTONVILLE FIRE DEPARTMENT,36049,89 E MAIN STREET,WASHINGTONVILLE,NY,10992,36,Orange,9144963733.0,41.426671,-74.157081,"(41.426671, -74.157081)"
1041,WINONA LAKE ENGINE COMPANY NO 2,36050,PO BOX 7360,NEWBURGH,NY,12550,36,Orange,8455653838.0,41.52252,-74.063135,"(41.52252, -74.063135)"
1042,WOODBURY FIRE DEPARTMENT,36051,455 ST RTE 32 PO BOX 643,HIGHLAND MILLS,NY,10930,36,Orange,8459286070.0,41.341425,-74.127179,"(41.341425, -74.127179)"
1043,HUGUENOT FIRE DEPARTMENT,36052,BOX 195 ROUTE 209,HUGUENOT,NY,12746,36,Orange,9148561606.0,41.419736,-74.63028100000001,"(41.419736, -74.630281)"
1044,BULLVILLE FIRE DEPARTMENT,36057,PO BOX 225,BULLVILLE,NY,10915,36,Orange,9147334373.0,41.54152,-74.35727,"(41.54152, -74.35727)"
1045,SOUTH BLOOMING GROVE FIRE DEPT,36058,819 RTE 208,MONROE,NY,10950,36,Orange,8454973770.0,41.368521,-74.188244,"(41.368521, -74.188244)"
1046,KIRYAS JOEL FIRE DEPARTMENT,36059,51 FOREST ROAD PO BOX 566,MONROE,NY,10950,36,Orange,8457838300.0,41.32792,-74.19075,"(41.32792, -74.19075)"
1047,ALBION FIRE DEPARTMENT,37001,108 NORTH PLATT STREET,ALBION,NY,14411,37,Orleans,5855894223.0,43.247803999999995,-78.192238,"(43.247804, -78.192238)"
1048,BARRE FIRE COMPANY,37002,4887 EAGLE HARBOR ROAD,ALBION,NY,14411,37,Orleans,5855896107.0,43.184734000000006,-78.19423,"(43.184734, -78.19423)"
1049,CARLTON FIRE COMPANY,37003,14341 WATERPORT/CARLTON RD,ALBION,NY,14411,37,Orleans,5856824250.0,43.323254,-78.193205,"(43.323254, -78.193205)"
